Date 	Open 	High 	Low 	Close 	Volume 	Market Cap
Jan 14, 2018 	14370.80 	14511.80 	13268.00 	13772.00 	11,084,100,000 	241,447,000,000
Jan 13, 2018 	13952.40 	14659.50 	13952.40 	14360.20 	12,763,600,000 	234,391,000,000
Jan 12, 2018 	13453.90 	14229.90 	13158.10 	13980.60 	12,065,700,000 	225,986,000,000
Jan 11, 2018 	14968.20 	15018.80 	13105.90 	13405.80 	16,534,100,000 	251,387,000,000
Jan 10, 2018 	14588.50 	14973.30 	13691.20 	14973.30 	18,500,800,000 	244,981,000,000
Jan 09, 2018 	15123.70 	15497.50 	14424.00 	14595.40 	16,660,000,000 	253,935,000,000
Jan 08, 2018 	16476.20 	16537.90 	14208.20 	15170.10 	18,413,900,000 	276,612,000,000
Jan 07, 2018 	17527.30 	17579.60 	16087.70 	16477.60 	15,866,000,000 	294,222,000,000
Jan 06, 2018 	17462.10 	17712.40 	16764.60 	17527.00 	18,314,600,000 	293,091,000,000
Jan 05, 2018 	15477.20 	17705.20 	15202.80 	17429.50 	23,840,900,000 	259,748,000,000
Jan 04, 2018 	15270.70 	15739.70 	14522.20 	15599.20 	21,783,200,000 	256,250,000,000
Jan 03, 2018 	14978.20 	15572.80 	14844.50 	15201.00 	16,871,900,000 	251,312,000,000
Jan 02, 2018 	13625.00 	15444.60 	13163.60 	14982.10 	16,846,600,000 	228,579,000,000
Jan 01, 2018 	14112.20 	14112.20 	13154.70 	13657.20 	10,291,200,000 	236,725,000,000
Dec 31, 2017 	12897.70 	14377.40 	12755.60 	14156.40 	12,136,300,000 	216,326,000,000
Dec 30, 2017 	14681.90 	14681.90 	12350.10 	12952.20 	14,452,600,000 	246,224,000,000
Dec 29, 2017 	14695.80 	15279.00 	14307.00 	14656.20 	13,025,500,000 	246,428,000,000
Dec 28, 2017 	15864.10 	15888.40 	13937.30 	14606.50 	12,336,500,000 	265,988,000,000
Dec 27, 2017 	16163.50 	16930.90 	15114.30 	15838.50 	12,487,600,000 	270,976,000,000
Dec 26, 2017 	14036.60 	16461.20 	14028.90 	16099.80 	13,454,300,000 	235,294,000,000
Dec 25, 2017 	13995.90 	14593.00 	13448.90 	14026.60 	10,664,700,000 	234,590,000,000
Dec 24, 2017 	14608.20 	14626.00 	12747.70 	13925.80 	11,572,300,000 	244,824,000,000
Dec 23, 2017 	13948.70 	15603.20 	13828.80 	14699.20 	13,086,000,000 	233,748,000,000
Dec 22, 2017 	15898.00 	15943.40 	11833.00 	13831.80 	22,198,000,000 	266,381,000,000
Dec 21, 2017 	16642.40 	17567.70 	15342.70 	15802.90 	16,516,600,000 	278,827,000,000
Dec 20, 2017 	17760.30 	17934.70 	16077.70 	16624.60 	22,149,700,000 	297,526,000,000
Dec 19, 2017 	19118.30 	19177.80 	17275.40 	17776.70 	16,894,500,000 	320,242,000,000
Dec 18, 2017 	19106.40 	19371.00 	18355.90 	19114.20 	14,839,500,000 	320,000,000,000
Dec 17, 2017 	19475.80 	20089.00 	18974.10 	19140.80 	13,314,600,000 	326,141,000,000
Dec 16, 2017 	17760.30 	19716.70 	17515.30 	19497.40 	12,740,600,000 	297,376,000,000
