Date,Open,High,Low,Close,Volume,Market Cap
"Jan 14, 2018",14370.8,14511.8,13268,13772,110841e5,241447e6
"Jan 13, 2018",13952.4,14659.5,13952.4,14360.2,127636e5,234391e6
"Jan 12, 2018",13453.9,14229.9,13158.1,13980.6,120657e5,225986e6
"Jan 11, 2018",14968.2,15018.8,13105.9,13405.8,165341e5,251387e6
"Jan 10, 2018",14588.5,14973.3,13691.2,14973.3,185008e5,244981e6
"Jan 09, 2018",15123.7,15497.5,14424,14595.4,1666e7,253935e6
"Jan 08, 2018",16476.2,16537.9,14208.2,15170.1,184139e5,276612e6
"Jan 07, 2018",17527.3,17579.6,16087.7,16477.6,15866e6,294222e6
"Jan 06, 2018",17462.1,17712.4,16764.6,17527,183146e5,293091e6
"Jan 05, 2018",15477.2,17705.2,15202.8,17429.5,238409e5,259748e6
"Jan 04, 2018",15270.7,15739.7,14522.2,15599.2,217832e5,25625e7
"Jan 03, 2018",14978.2,15572.8,14844.5,15201,168719e5,251312e6
"Jan 02, 2018",13625,15444.6,13163.6,14982.1,168466e5,228579e6
"Jan 01, 2018",14112.2,14112.2,13154.7,13657.2,102912e5,236725e6
"Dec 31, 2017",12897.7,14377.4,12755.6,14156.4,121363e5,216326e6
"Dec 30, 2017",14681.9,14681.9,12350.1,12952.2,144526e5,246224e6
"Dec 29, 2017",14695.8,15279,14307,14656.2,130255e5,246428e6
"Dec 28, 2017",15864.1,15888.4,13937.3,14606.5,123365e5,265988e6
"Dec 27, 2017",16163.5,16930.9,15114.3,15838.5,124876e5,270976e6
"Dec 26, 2017",14036.6,16461.2,14028.9,16099.8,134543e5,235294e6
"Dec 25, 2017",13995.9,14593,13448.9,14026.6,106647e5,23459e7
"Dec 24, 2017",14608.2,14626,12747.7,13925.8,115723e5,244824e6
"Dec 23, 2017",13948.7,15603.2,13828.8,14699.2,13086e6,233748e6
"Dec 22, 2017",15898,15943.4,11833,13831.8,22198e6,266381e6
"Dec 21, 2017",16642.4,17567.7,15342.7,15802.9,165166e5,278827e6
"Dec 20, 2017",17760.3,17934.7,16077.7,16624.6,221497e5,297526e6
"Dec 19, 2017",19118.3,19177.8,17275.4,17776.7,168945e5,320242e6
"Dec 18, 2017",19106.4,19371,18355.9,19114.2,148395e5,32e10
"Dec 17, 2017",19475.8,20089,18974.1,19140.8,133146e5,326141e6
"Dec 16, 2017",17760.3,19716.7,17515.3,19497.4,127406e5,297376e6
